year,neighborhood,gross_rent
2013,Westwood Highlands,2971
2013,Yerba Buena,2971
2014,Alamo Square,3528
2014,Anza Vista,3528
2014,Bayview,3528
2014,Bernal Heights ,3528
2014,Central Richmond,3528
2014,Central Sunset,3528
2014,Corona Heights,3528
2014,Cow Hollow,3528
2014,Downtown ,3528
2014,Duboce Triangle,3528
2014,Eureka Valley/Dolores Heights,3528
2014,Excelsior,3528
2014,Financial District North,3528
2014,Financial District South,3528
2014,Glen Park,3528
2014,Golden Gate Heights,3528
2014,Haight Ashbury,3528
2014,Hayes Valley,3528
2014,Ingleside ,3528
2014,Inner Mission,3528
2014,Inner Parkside,3528
2014,Inner Richmond,3528
2014,Inner Sunset,3528
2014,Jordan Park/Laurel Heights,3528
2014,Lake --The Presidio,3528
2014,Lone Mountain,3528
2014,Lower Pacific Heights,3528
2014,Marina,3528
2014,Merced Heights,3528
2014,Miraloma Park,3528
2014,Mission Bay,3528
2014,Mission Dolores,3528
2014,Mission Terrace,3528
2014,Nob Hill,3528
2014,Noe Valley,3528
2014,North Waterfront,3528
2014,Outer Parkside,3528
2014,Outer Richmond ,3528
2014,Outer Sunset,3528
2014,Pacific Heights,3528
2014,Park North,3528
2014,Parkside,3528
2014,Parnassus/Ashbury Heights,3528
2014,Portola,3528
2014,Potrero Hill,3528
2014,Presidio Heights,3528
2014,Russian Hill,3528
2014,Silver Terrace,3528
2014,South Beach,3528
2014,South of Market,3528
2014,Sunnyside,3528
2014,Telegraph Hill,3528
2014,Twin Peaks,3528
2014,Union Square District,3528
2014,Van Ness/ Civic Center,3528
2014,Visitacion Valley,3528
2014,West Portal,3528
2014,Western Addition,3528
2014,Westwood Park,3528
2014,Yerba Buena,3528
2015,Alamo Square,3739
2015,Anza Vista,3739
2015,Bayview Heights,3739
2015,Bernal Heights ,3739
2015,Buena Vista Park,3739
2015,Central Richmond,3739
2015,Central Sunset,3739
2015,Corona Heights,3739
2015,Cow Hollow,3739
2015,Croker Amazon,3739
2015,Downtown ,3739
2015,Duboce Triangle,3739
2015,Eureka Valley/Dolores Heights,3739
2015,Excelsior,3739
2015,Financial District North,3739
2015,Financial District South,3739
2015,Glen Park,3739
2015,Golden Gate Heights,3739
2015,Haight Ashbury,3739
2015,Hayes Valley,3739
2015,Hunters Point,3739
2015,Ingleside ,3739
2015,Inner Mission,3739
2015,Inner Parkside,3739
2015,Inner Richmond,3739
2015,Inner Sunset,3739
2015,Jordan Park/Laurel Heights,3739
2015,Lake --The Presidio,3739
2015,Lone Mountain,3739
2015,Lower Pacific Heights,3739
2015,Marina,3739
2015,Mission Dolores,3739
2015,Mission Terrace,3739
2015,Nob Hill,3739
2015,Noe Valley,3739
2015,North Beach,3739
2015,North Waterfront,3739
2015,Oceanview,3739
2015,Outer Mission,3739
2015,Outer Parkside,3739
2015,Outer Richmond ,3739
2015,Outer Sunset,3739
2015,Pacific Heights,3739
2015,Park North,3739
2015,Parkside,3739
2015,Parnassus/Ashbury Heights,3739
2015,Potrero Hill,3739
2015,Presidio Heights,3739
2015,Russian Hill,3739
2015,South of Market,3739
2015,Sunnyside,3739
2015,Telegraph Hill,3739
2015,Twin Peaks,3739
2015,Union Square District,3739
2015,Van Ness/ Civic Center,3739
2015,Visitacion Valley,3739
2015,Western Addition,3739
2015,Yerba Buena,3739
2016,Alamo Square,4390
2016,Anza Vista,4390
2016,Bernal Heights ,4390
2016,Buena Vista Park,4390
2016,Central Richmond,4390
2016,Central Sunset,4390
2016,Cow Hollow,4390
2016,Croker Amazon,4390
2016,Downtown ,4390
2016,Eureka Valley/Dolores Heights,4390
2016,Excelsior,4390
2016,Financial District North,4390
2016,Glen Park,4390
2016,Haight Ashbury,4390
2016,Hayes Valley,4390
2016,Ingleside Heights,4390
2016,Inner Mission,4390
2016,Inner Parkside,4390
2016,Inner Richmond,4390
2016,Inner Sunset,4390
2016,Jordan Park/Laurel Heights,4390
2016,Lower Pacific Heights,4390
2016,Marina,4390
2016,Merced Heights,4390
2016,Mission Bay,4390
2016,Mission Terrace,4390
2016,Nob Hill,4390
2016,Noe Valley,4390
2016,North Beach,4390
2016,Outer Mission,4390
2016,Outer Parkside,4390
2016,Outer Richmond ,4390
2016,Outer Sunset,4390
2016,Pacific Heights,4390
2016,Park North,4390
2016,Parnassus/Ashbury Heights,4390
2016,Potrero Hill,4390
2016,Presidio Heights,4390
2016,Russian Hill,4390
2016,South of Market,4390
2016,Sunnyside,4390
2016,Telegraph Hill,4390
2016,Twin Peaks,4390
2016,Van Ness/ Civic Center,4390
2016,Visitacion Valley,4390
2016,Westwood Park,4390
